company,job_id,source_category,job_title,preferred_course,accepted_courses,mapping_source
Company_Legal_A,JOB001,Advocate,Legal Professional / Advocate,Law,Law|Legal Studies|Corporate Law,Project-defined company/job course context based on existing JD course requirements
Company_Creative_A,JOB002,Arts,Arts / Creative Professional,Fine Arts,Fine Arts|Graphic Design|Visual Arts|Arts|Design,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB003,Automation Testing,Automation Test Engineer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB004,Blockchain,Blockchain Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Blockchain|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Consulting_A,JOB005,Business Analyst,Business Analyst,Business Administration,Business Administration|Computer Science and Engineering|Information Technology|Finance,Project-defined company/job course context based on existing JD course requirements
Company_Engineering_A,JOB006,Civil Engineer,Civil Engineer,Civil Engineering,Civil Engineering|Construction Engineering|Structural Engineering,Project-defined company/job course context based on existing JD course requirements
Company_Data_A,JOB007,Data Science,Data Scientist,Data Science,Data Science|Computer Science|Artificial Intelligence|Statistics,Project-defined company/job course context based on existing JD course requirements
Company_Data_A,JOB008,Database,Database Administrator,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB009,DevOps Engineer,DevOps Engineer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Engineering,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB010,DotNet Developer,.NET Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Data_A,JOB011,ETL Developer,ETL Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Engineering_A,JOB012,Electrical Engineering,Electrical Engineer,Electrical Engineering,Electrical Engineering|Electrical and Electronics Engineering|Power Engineering,Project-defined company/job course context based on existing JD course requirements
Company_Consulting_A,JOB013,HR,HR Analyst,Human Resources,Human Resources|Business Administration|Commerce,Project-defined company/job course context based on existing JD course requirements
Company_Data_A,JOB014,Hadoop,Hadoop Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Data Science|Big Data,Project-defined company/job course context based on existing JD course requirements
Company_Health_A,JOB015,Health and fitness,Health and Fitness Professional,Health and Fitness,Health and Fitness|Physical Education|Sports Science|Nutrition,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB016,Java Developer,Java Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Engineering|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Engineering_A,JOB017,Mechanical Engineer,Mechanical Engineer,Mechanical Engineering,Mechanical Engineering|Production Engineering|Manufacturing Engineering,Project-defined company/job course context based on existing JD course requirements
Company_Security_A,JOB018,Network Security Engineer,Cyber Security Engineer,Cyber Security,Cyber Security|Computer Science and Engineering|Information Technology,Project-defined company/job course context based on existing JD course requirements
Company_Consulting_A,JOB019,Operations Manager,Operations Manager,Operations Management,Operations Management|Business Administration,Project-defined company/job course context based on existing JD course requirements
Company_Consulting_A,JOB020,PMO,PMO Analyst,Project Management,Project Management|Business Administration|Operations Management|Information Technology,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB021,Python Developer,Python Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Data Science|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Data_A,JOB022,SAP Developer,SAP Developer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence,Project-defined company/job course context based on existing JD course requirements
Company_Consulting_A,JOB023,Sales,Sales Executive,Business Administration,Business Administration|Marketing|Sales|Commerce,Project-defined company/job course context based on existing JD course requirements
Company_Tech_A,JOB024,Testing,Software Tester,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,Project-defined company/job course context based on existing JD course requirements
Company_Creative_A,JOB025,Web Designing,Web Designer,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Web Design|Computer Applications,Project-defined company/job course context based on existing JD course requirements
