job_id,source_category,job_title
JOB001,Advocate,Legal Professional / Advocate
JOB002,Arts,Arts / Creative Professional
JOB003,Automation Testing,Automation Test Engineer
JOB004,Blockchain,Blockchain Developer
JOB005,Business Analyst,Business Analyst
JOB006,Civil Engineer,Civil Engineer
JOB007,Data Science,Data Scientist
JOB008,Database,Database Administrator
JOB009,DevOps Engineer,DevOps Engineer
JOB010,DotNet Developer,.NET Developer
JOB011,ETL Developer,ETL Developer
JOB012,Electrical Engineering,Electrical Engineer
JOB013,HR,HR Analyst
JOB014,Hadoop,Hadoop Developer
JOB015,Health and fitness,Health and Fitness Professional
JOB016,Java Developer,Java Developer
JOB017,Mechanical Engineer,Mechanical Engineer
JOB018,Network Security Engineer,Cyber Security Engineer
JOB019,Operations Manager,Operations Manager
JOB020,PMO,PMO Analyst
JOB021,Python Developer,Python Developer
JOB022,SAP Developer,SAP Developer
JOB023,Sales,Sales Executive
JOB024,Testing,Software Tester
JOB025,Web Designing,Web Designer
