job_id,source_category,job_title,preferred_degree,accepted_degrees,preferred_course,accepted_courses,minimum_total_experience_years,required_skills
JOB001,Advocate,Legal Professional / Advocate,LL.B,LL.B|LL.M|B.A. LL.B|BBA LL.B,Law,Law|Legal Studies|Corporate Law,1,Legal Research|Legal Writing|Contract Law|Litigation|Documentation
JOB002,Arts,Arts / Creative Professional,Bachelor's Degree,Bachelor's Degree|B.A.|BFA|Diploma,Fine Arts,Fine Arts|Graphic Design|Visual Arts|Arts|Design,1,Drawing|Creative Design|Visual Communication|Adobe Photoshop|Illustration
JOB003,Automation Testing,Automation Test Engineer,B.Tech,B.Tech|B.E.|MCA|BCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,1,Automation Testing|Selenium|Java|Python|Test Automation
JOB004,Blockchain,Blockchain Developer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Blockchain|Computer Applications,1,Blockchain|Solidity|Ethereum|Smart Contracts|JavaScript
JOB005,Business Analyst,Business Analyst,MBA,MBA|BBA|B.Tech|B.E.,Business Administration,Business Administration|Computer Science and Engineering|Information Technology|Finance,2,Documentation|SQL|Excel|Operations
JOB006,Civil Engineer,Civil Engineer,B.Tech,B.Tech|B.E.|M.Tech,Civil Engineering,Civil Engineering|Construction Engineering|Structural Engineering,1,AutoCAD|Civil Engineering|Construction|Structural Design|Site Supervision
JOB007,Data Science,Data Scientist,B.Tech,B.Tech|M.Tech|M.Sc,Data Science,Data Science|Computer Science|Artificial Intelligence|Statistics,2,Python|SQL|Machine Learning
JOB008,Database,Database Administrator,B.Tech,B.Tech|B.E.|MCA|M.Sc,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,2,SQL|Oracle|Databases|MySQL
JOB009,DevOps Engineer,DevOps Engineer,B.Tech,B.Tech|B.E.|M.Tech,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Engineering,2,AWS|Automation|Shell Scripting|Cloud Computing
JOB010,DotNet Developer,.NET Developer,B.Tech,B.Tech|B.E.|MCA|BCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,1,.NET|C#|ASP.NET|SQL|JavaScript
JOB011,ETL Developer,ETL Developer,B.Tech,B.Tech|B.E.|MCA|M.Sc,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,2,ETL|Informatica|SQL|Databases
JOB012,Electrical Engineering,Electrical Engineer,B.Tech,B.Tech|B.E.|M.Tech,Electrical Engineering,Electrical Engineering|Electrical and Electronics Engineering|Power Engineering,1,Electrical Engineering|MATLAB|AutoCAD|Circuit Design|Power Systems
JOB013,HR,HR Analyst,MBA,MBA|BBA|M.Com,Human Resources,Human Resources|Business Administration|Commerce,1,Excel|Documentation|HR Management
JOB014,Hadoop,Hadoop Developer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Data Science|Big Data,2,Hadoop|Hive|Spark|Java|SQL
JOB015,Health and fitness,Health and Fitness Professional,Bachelor's Degree,Bachelor's Degree|B.Sc|B.P.Ed|Diploma,Health and Fitness,Health and Fitness|Physical Education|Sports Science|Nutrition,1,Fitness Training|Exercise|Nutrition|Health|Wellness
JOB016,Java Developer,Java Developer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Engineering|Computer Applications,1,Java|SQL|Spring|Hibernate|J2EE
JOB017,Mechanical Engineer,Mechanical Engineer,B.Tech,B.Tech|B.E.|M.Tech,Mechanical Engineering,Mechanical Engineering|Production Engineering|Manufacturing Engineering,1,AutoCAD|SolidWorks|Mechanical Design|Manufacturing|CAD
JOB018,Network Security Engineer,Cyber Security Engineer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Cyber Security,Cyber Security|Computer Science and Engineering|Information Technology,2,CISCO|Linux|Python|Networking
JOB019,Operations Manager,Operations Manager,MBA,MBA|BBA|B.Tech|B.E.,Operations Management,Operations Management|Business Administration,4,Operations|Documentation|Excel
JOB020,PMO,PMO Analyst,MBA,MBA|BBA|B.Tech|B.E.,Project Management,Project Management|Business Administration|Operations Management|Information Technology,2,Project Management|Documentation|Excel|Reporting|Stakeholder Management
JOB021,Python Developer,Python Developer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Data Science|Computer Applications,1,Python|SQL|Django|Flask|REST API
JOB022,SAP Developer,SAP Developer,B.Tech,B.Tech|B.E.|M.Tech|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications|Business Intelligence,2,SAP|SAP HANA|SAP BO|SQL|Business Intelligence
JOB023,Sales,Sales Executive,Bachelor's Degree,Bachelor's Degree|BBA|MBA|B.Com,Business Administration,Business Administration|Marketing|Sales|Commerce,1,Sales|Communication|Customer Relationship Management|Negotiation|Lead Generation
JOB024,Testing,Software Tester,B.Tech,B.Tech|B.E.|MCA|BCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Computer Applications,1,Software Testing|Manual Testing|Test Cases|SQL|Selenium
JOB025,Web Designing,Web Designer,B.Tech,B.Tech|B.E.|BCA|MCA,Computer Science and Engineering,Computer Science and Engineering|Information Technology|Web Design|Computer Applications,1,HTML|CSS|JavaScript|Bootstrap|Web Design
